fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
split_18-20.csv,14400,CNS-S-GD,1,0.01,10.0,1.25,1.0,-0.14027848130686071,240.39223783225,5.0,1,276,-Inf,0.0,-0.1402779380559458,9.984379001820834e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,5.0,0.5,2.5,-0.14010280757199156,82.8112415015,2.8784461534414856,1,1586,-Inf,0.0,-0.14010200449861646,9.11360537754118e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,0.5,1.25,1.0,-0.14015222331541125,83.8666149055,1.8043323955081347,1,766,-Inf,0.0,-0.14015174838703023,9.823887522056665e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,10.0,1.25,0.5,-0.14010222537887507,62.0956622545,1.0086942073587735,1,2333,-Inf,0.0,-0.14010313582746903,9.643041648790222e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,0.5,2.5,0.01,-0.1406248673606974,240.22432809725,3.0739727278696094,2,85,-0.14016479979380206,9.986845199529024e-5,-0.14062100317425705,9.997063972415114e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.5,0.01,10.0,-0.1401360813929674,240.31409603825,5.0,2,2113,-0.14015429449917843,9.955455384589188e-5,-0.14013622123164693,9.946813613149683e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,0.01,0.25,0.01,-0.14010557429316248,89.86396010575001,1.9248121875124617,2,1380,-0.14015911902179196,9.99846284638838e-5,-0.14010737839794085,9.839816650904194e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,10.0,5.0,0.5,-0.14010803039402006,205.45414998174996,4.208886474029681,2,632,-0.14016856978295256,8.738701689866368e-5,-0.1401095652368922,9.789703254781178e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,2.5,0.01,5.0,-0.14048517120387785,102.04681738075,1.918103715626135,3,152,-0.1402049439133101,9.977408189255918e-5,-0.14048234376894495,9.995908886207664e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,2.5,0.01,2.5,-0.14023244136755614,240.29504641225,2.844388480944762,3,837,-0.1401692858750603,9.113000821438549e-5,-0.14023195314201725,9.942462954465708e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,0.01,0.01,0.01,-0.14161964581398614,240.28379202075,0.1,3,1,-0.14020215999508234,9.994132518737639e-5,-0.14160539487718699,9.999333098061397e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,5.0,0.01,0.01,-0.14038885256755668,240.31490723125,2.816525734800219,3,540,-0.14020396183828762,9.999344875786308e-5,-0.14038684167163212,9.99803649967819e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,2.5,0.25,1.0,-0.14010399167309234,100.27220162875001,2.1767262712862014,4,1529,-0.14011140738735245,4.910509839035873e-5,-0.1401057240261705,9.52185537560288e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,20.0,0.75,1.0,-0.14011258873578356,158.02656767775,4.934938488481174,4,1004,-0.14011974206639205,5.868988814511818e-5,-0.14011244608217352,9.406121936025736e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,5.0,2.5,0.5,-0.1401027980993253,60.31371151225001,4.357830540503366,4,1605,-0.14006181310086063,4.009042818174686e-5,-0.14010119770209778,8.97209302380848e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,5.0,1.25,1.0,-0.1401216351341992,88.55047747674999,2.814544096069858,4,913,-0.14006565482773078,3.649447290012014e-5,-0.1401209577627309,8.905675335624534e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,20.0,0.25,0.5,-0.1401035625766269,110.49337794850001,1.500070330712655,5,2018,-0.14012214135513626,5.243435530649962e-5,-0.14010304646822924,9.424389957929581e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,20.0,0.25,1.0,-0.14010322732457786,135.26442998049998,3.987257456109747,5,1676,-0.1401173888839476,4.1226105438070826e-5,-0.14010414491028647,8.847339479633095e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,1.0,5.0,10.0,-0.14032522724636448,240.29009264374997,4.179781569433974,5,146,-0.14028832121992751,9.526593471757133e-5,-0.1403242450737848,9.988544241425034e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,20.0,0.25,2.5,-0.14010334586112633,102.71911862900001,1.2891484318942021,5,2363,-0.1401317094571643,6.127217015569001e-5,-0.1401033165243317,9.718920958918104e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,5.0,0.01,20.0,-0.1401312459267678,240.2790728435,4.576407165583963,6,1918,-0.14018717030173053,7.756527494052157e-5,-0.14013184093120362,9.54689522850346e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,20.0,0.75,20.0,-0.14012143675950578,224.00265645250002,4.30555397534812,6,665,-0.1402304502186462,8.308096525684362e-5,-0.1401218226565376,9.898258323444306e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,0.01,0.25,0.5,-0.1402768998206624,121.26930660325002,1.6641287030049272,6,695,-0.14023185007255393,9.601562636961203e-5,-0.14027519260111354,9.971280606675706e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,10.0,0.01,20.0,-0.14013163538119,240.310631323,5.0,6,2310,-0.14020056114381046,8.749385172433845e-5,-0.14013147407906504,9.683672925348169e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.5,0.25,2.5,-0.1401038328100445,75.74707650524999,1.0528143784187614,7,2118,-0.14013634984510312,6.747507416479904e-5,-0.14010386673535694,9.648418776478999e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,0.01,0.01,10.0,-0.1403734488211249,240.3322169885,5.0,7,349,-0.14026038798813745,9.852754917785186e-5,-0.14037120882996854,9.988688466022383e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.5,0.25,10.0,-0.14010386037964132,76.97543645500001,1.090994443186318,7,1777,-0.14015509706508536,7.424569085757361e-5,-0.1401040181872978,9.382600339857293e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,2.5,5.0,20.0,-0.14010207884013753,70.37386974575,1.6697317588759026,7,2254,-0.14021077330238493,9.074290925011917e-5,-0.14010261146000003,9.681929671934804e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,10.0,0.01,1.0,-0.14016053229270675,160.457428707,2.6453135832622157,8,2306,-0.14016787263402947,7.692758304212748e-5,-0.14016051342464056,9.962993179829953e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,20.0,5.0,2.5,-0.14010194757767555,88.42175657249999,3.131308003324924,8,1712,-0.14010901638356205,6.179909728142614e-5,-0.140101800572727,9.734492247784558e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,0.01,2.5,20.0,-0.14010285961952051,89.30817040125,2.8856561878914913,8,1414,-0.14023615432914543,9.802700601711441e-5,-0.14010117670267366,9.828395152029345e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,20.0,5.0,20.0,-0.1401056110730704,234.55746459800002,4.726193835117842,8,686,-0.14013877799990662,6.73980523790914e-5,-0.14010596088266744,9.90017406939652e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,2.5,0.75,10.0,-0.14010226243910232,59.22653955375,1.125238860960249,9,2232,-0.14009594927517943,3.999917576509975e-5,-0.14010175908564507,9.344274466793408e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,5.0,20.0,-0.14010299937865756,83.297027634,1.2415024578843945,9,2107,-0.14012325797502678,6.195574618569837e-5,-0.14010478492073009,9.86989689375249e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,0.5,1.25,20.0,-0.14016063243791055,139.65964073450002,3.036870187520482,9,427,-0.1401752660992719,7.48338249580091e-5,-0.14016012838765388,9.828581229278831e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.01,0.01,-0.14019998864120078,142.93708878875,1.1770073197911088,9,2059,-0.14020559101146637,9.564740860476343e-5,-0.14019967980518988,9.982155826573652e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.5,5.0,0.01,-0.140103072967547,38.6905665745,1.1086157412361928,10,2150,-0.14020166678434898,9.851494924755464e-5,-0.14010351142513902,9.897761132856415e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.5,2.5,10.0,-0.14010243707534334,59.840540749249996,1.6324741709182544,10,1805,-0.14009802685744197,5.07742142865464e-5,-0.14010254429634267,9.296035219777245e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,1.0,0.5,0.5,-0.1401038386584843,65.42038718250001,1.0668855803261004,10,2172,-0.14011113177858248,4.426587036740529e-5,-0.1401036313673824,9.747829109574843e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,20.0,0.01,20.0,-0.14017587215623017,240.32395888,5.0,10,987,-0.14019500145530223,6.975275731435879e-5,-0.1401759973504769,9.946393811393115e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,10.0,2.5,0.01,-0.1401037802499003,56.472406669,3.1765465411310716,11,2339,-0.1401570743924056,8.90727267835309e-5,-0.1401039299184279,9.892559488586018e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.25,0.01,-0.14010291621882207,57.8548150865,0.7369484603045824,11,2066,-0.14008711252082237,5.556334209094454e-5,-0.14010364012179785,9.109041460970723e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.5,0.01,-0.14010318814224984,60.63075605975,0.8617924318484477,11,2073,-0.14008436174179215,6.170577813270151e-5,-0.14010180083314874,9.267434392637337e-6
split_18-20.csv,14400,CNS-S-GD,1,0.75,0.01,2.5,0.01,-0.14010339997512933,92.8766973155,2.599469337809389,11,1065,-0.1401324908992154,8.026645510014639e-5,-0.14010387762671617,9.938279700800661e-6
split_18-20.csv,14400,CNS-S-GD,1,0.25,20.0,1.25,0.01,-0.14011747632707613,217.18145325449998,3.313149803289019,12,666,-0.14019884279732592,9.01509571803338e-5,-0.1401186423161034,9.914088530945902e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.25,5.0,-0.14010377296307008,65.668622599,1.3866634075498905,12,2070,-0.1401898967519583,8.321637364800621e-5,-0.14010493090194429,9.821743731028045e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,10.0,0.25,20.0,-0.14010382988618256,89.9722880585,1.269566697592156,12,2317,-0.14011748315336844,4.8496958060068695e-5,-0.14010401188176233,9.803293407605748e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,0.5,5.0,20.0,-0.14010726264650686,102.84103336925001,2.183608583721269,12,784,-0.14013571072305478,4.520660248651609e-5,-0.1401086628250716,9.705692084491115e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,20.0,5.0,0.5,-0.1401028189377277,71.194872455,4.8675731023623126,13,1710,-0.1400989170197185,3.275320036998284e-5,-0.14010288739786458,9.557785013640811e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.01,0.25,20.0,-0.14010320255122907,102.45467452700001,1.4097563083068332,13,1729,-0.14011789040237985,5.232121024026646e-5,-0.14010627359971217,9.348119212834766e-6
split_18-20.csv,14400,CNS-S-GD,1,0.75,20.0,5.0,0.01,-0.14010387641817906,130.4086471565,4.711657210055553,13,1366,-0.14009737913259654,5.512705835380946e-5,-0.14010372609376825,9.852273746533215e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.25,20.0,-0.1401032380056856,99.515068178,1.4071536486526801,13,2072,-0.14009932106313386,5.1509131581288485e-5,-0.1401006363317888,9.316629950056539e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,0.01,5.0,0.5,-0.14107456730811244,240.3219879495,2.261855574540231,14,44,-0.14022350639939338,9.918689811217855e-5,-0.14106515368350453,9.995167588752392e-6
split_18-20.csv,14400,CNS-S-GD,1,0.5,0.01,5.0,1.0,-0.1401064515110199,95.558376974,2.0183442109151595,14,731,-0.1401862900514959,8.378742584606897e-5,-0.14011180635122142,9.885910385017915e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.5,5.0,20.0,-0.14010291682970835,71.11727578899999,1.7311812318002975,14,1813,-0.14009591994856913,2.4303880649482284e-5,-0.14010216619088972,9.212625304052169e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,2.5,5.0,0.01,-0.14010378156267614,49.73204250575,1.1619058527616826,14,1905,-0.14010219246942648,4.154174121995348e-5,-0.14010368575793747,9.767637096872472e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.01,5.0,0.5,-0.14010301471690226,55.394551223,0.891810859449401,15,1759,-0.1400218282406129,6.310592554799544e-5,-0.1401044145462393,9.395694581492071e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,0.01,0.01,2.5,-0.14014808551349367,240.26122502075,2.182398599202092,15,2062,-0.14023153684516904,8.671332784305917e-5,-0.14014901123785378,9.982667437214541e-6
split_18-20.csv,14400,CNS-S-GD,1,0.01,20.0,0.5,0.01,-0.14028704730437594,240.27266337499998,4.982283887544311,15,309,-0.14025307006844862,9.023703369529686e-5,-0.14028659375156569,9.988013158603974e-6
split_18-20.csv,14400,CNS-S-GD,1,2.5,0.01,5.0,1.0,-0.14010303095272097,44.03106225375,0.9140771695359962,15,1760,-0.1400099334278413,5.593600671527654e-5,-0.14009873170046622,9.215227179391161e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,20.0,5.0,20.0,-0.1401017236520024,58.51467433725,0.7170556830851702,16,2401,-0.1401129345846337,5.5223064719577296e-5,-0.14010210957902688,9.884448383199495e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,1.0,0.25,0.01,-0.14010374752204316,54.281469089249995,0.8333055818312538,16,2164,-0.14014634444735521,8.445075673550016e-5,-0.14010435588029835,9.979173914088233e-6
split_18-20.csv,14400,CNS-S-GD,1,1.25,1.0,5.0,0.5,-0.14010373324277178,43.603360062250005,1.175758148510384,16,1514,-0.14012187233562995,4.174704737775658e-5,-0.14010475510401404,9.767716647172181e-6
split_18-20.csv,14400,CNS-S-GD,1,5.0,1.0,0.25,20.0,-0.1401031216859197,86.11640848275,2.1831386892266895,16,2170,-0.1401072990746761,2.9841775648874903e-5,-0.1401035054396192,9.511478379446276e-6
